histid_1940,birthyr_son,statefip_1940,countyicp_1940,educd_1940,lit_son,empstatd_1940,labforce_1940,occ_son,macro_son,meso_son,urban_1900,urban_1910,urban_1920,urban_1930,urban_1940,wkswork1_1940,histid_pop_1900,histid_pop_1910,histid_pop_1920,histid_pop_1930,histid_pop_1940,birthyr_pop,birthyr_spread,spread_mad,spread_flag,attachment_level_son,attachment_level_pop,statefip_pop_1900,statefip_pop_1910,statefip_pop_1920,statefip_pop_1930,statefip_pop_1940,countyicp_pop_1900,countyicp_pop_1910,countyicp_pop_1920,countyicp_pop_1930,countyicp_pop_1940,educd_pop_1940,lit_pop,empstatd_pop_1910,empstatd_pop_1930,empstatd_pop_1940,labforce_pop_1910,labforce_pop_1920,labforce_pop_1930,labforce_pop_1940,urban_pop_1900,urban_pop_1910,urban_pop_1920,urban_pop_1930,urban_pop_1940,wkswork1_pop_1940,occ_pop,occ_pop_attach,picked_year_attach,meso_pop,macro_pop,meso_pop_attach,macro_pop_attach,w_parent_flag_1900,w_parent_flag_1910,w_parent_flag_1920,w_parent_flag_1930,w_parent_flag_1940
258126F6-4B7B-4560-8A4A-60ACDED34E37,1910,40,1130,999,4,10,2,583,manual,crafts,NA,NA,2,1,1,52,NA,NA,NA,9AECF96C-A827-45E1-AD8D-35EB6D212AC7,EA2E21FE-6512-45D1-B3A9-A6EE35917E3A,1878,4,2,FALSE,NA,NA,NA,NA,NA,40,40,NA,NA,NA,1130,1130,999,4,NA,10,10,NA,NA,2,2,NA,NA,NA,1,1,52,100,100,1930,farmer,farming,farmer,farming,0,0,0,1,1
25893CAB-64D2-44B4-9563-6962380D2F3E,1904,40,410,16,4,10,2,100,farming,farmer,NA,1,1,1,1,52,NA,531B2CC4-A9B8-4CC5-81E1-BFD33E76817F,8324141C-75A2-46AC-9855-C34B757B3D32,NA,NA,1870,0,0,FALSE,NA,NA,NA,40,40,NA,NA,NA,410,410,NA,NA,NA,4,10,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,100,100,1910,farmer,farming,farmer,farming,0,1,1,0,0
258AEE15-82AD-410D-B457-2C4874A5E71B,1907,31,1070,26,4,34,1,970,manual,unskilled,NA,NA,1,1,1,0,NA,NA,8769DFBC-CE36-44C4-BC9B-393FA68591AD,58C7F4FF-70C1-431D-AD65-F1E63C9DA3C7,NA,1866,2,1,FALSE,1,NA,NA,NA,31,31,NA,NA,NA,150,1070,NA,NA,4,NA,10,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,100,100,1930,farmer,farming,farmer,farming,0,0,1,1,0
258F4F37-BBD5-441A-80A6-03FD25116205,1919,35,310,26,4,10,2,100,farming,farmer,NA,NA,NA,1,1,52,NA,NA,NA,F0B22B2C-D277-417C-A217-2E321F6D4E65,4E2E42E6-5174-4AB7-969B-A0654068A566,1884,0,0,FALSE,NA,NA,NA,NA,NA,35,35,NA,NA,NA,310,310,2,1,NA,10,10,NA,NA,2,2,NA,NA,NA,1,1,52,100,100,1930,farmer,farming,farmer,farming,0,0,0,1,1
25906685-12B5-4920-BF2C-6B56D9E8DAC0,1915,55,90,26,4,21,2,820,farming,farmworker,NA,NA,NA,1,1,6,NA,NA,NA,DE646A71-BBE7-47FD-A175-1B94C1E2AA0F,ED870029-78DF-43C0-9BBD-2FCC1D84758D,1890,1,0.5,FALSE,2,NA,NA,NA,NA,55,55,NA,NA,NA,870,90,17,4,NA,10,11,NA,NA,2,2,NA,NA,NA,1,1,46,820,820,1930,farmworker,farming,farmworker,farming,0,0,0,1,1
2590C7B9-E40A-46A5-9413-7DE67D6F5CCF,1899,26,290,16,4,10,2,910,manual,unskilled,NA,1,1,1,1,38,NA,NA,NA,2F7CDBE7-5F18-4AE6-A49F-E2DE810118A6,NA,1875,0,0,FALSE,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,290,NA,NA,4,NA,10,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,970,970,1930,unskilled,manual,unskilled,manual,0,0,0,1,0
2598BE57-4A7F-4E1D-BBD2-C12187E2B9E1,1914,53,570,50,4,10,2,950,manual,unskilled,NA,NA,NA,1,2,24,NA,NA,NA,DF9EE88D-3A4A-464A-9F3A-B67FA4A36C26,9F098008-1E81-493A-92E2-F4AFEAA5C727,1892,0,0,FALSE,NA,NA,NA,NA,NA,53,53,NA,NA,NA,610,570,22,4,NA,20,10,NA,NA,2,2,NA,NA,NA,1,2,24,950,950,1930,unskilled,manual,unskilled,manual,0,0,0,1,1
25A39F7B-26E6-4F33-B0AF-4EDE006FE6BA,1911,40,130,110,4,21,2,310,nonmanual,nonmanual,NA,NA,2,2,2,52,NA,F994223E-AD27-4D25-89E7-45B3321C0F4E,20E8B0EB-0DF0-4AD8-8388-006735869F0D,NA,NA,1880,0,0,FALSE,4,NA,NA,40,40,NA,NA,NA,130,130,NA,NA,NA,4,10,NA,NA,2,2,NA,NA,NA,1,2,NA,NA,NA,470,100,1910,nonmanual,nonmanual,farmer,farming,0,0,1,0,0
25A5F0DB-373D-4609-AF1F-288E24279C87,1919,36,430,26,4,21,2,950,manual,unskilled,NA,NA,1,2,2,16,NA,NA,7747E112-22C4-4CE1-B7C1-7AB85D5436FD,8AF8FA99-F8F8-4049-86D9-0F83A4435D70,5708D2DC-CFC9-42C4-AF2F-2E2FFABD9ADC,1889,2,1,FALSE,3,NA,NA,NA,36,36,36,NA,NA,430,430,430,26,4,NA,10,10,NA,2,2,2,NA,NA,1,2,2,32,690,690,1930,unskilled,manual,unskilled,manual,0,0,1,1,1
25A9AC39-4CE3-4235-85EE-198E16B9DBF9,1910,6,970,22,NA,10,2,950,manual,unskilled,NA,NA,NA,NA,1,24,381117E8-FBC1-43FB-812A-9C5815601079,DF5B2068-5A2A-4D00-B824-C62374AD30F9,E6A1A10E-CAE8-4935-90B2-7441703AE456,58737A4A-461F-421B-99E3-F001F9D78E2C,88DE12EB-B026-43F3-927D-5B2587100B0E,1881,4,1,FALSE,NA,NA,6,6,6,6,6,970,970,970,970,970,2,4,10,20,10,2,2,2,2,1,1,1,1,1,24,820,950,1910,farmworker,farming,unskilled,manual,0,0,0,0,1
25B139C7-0482-420D-A436-3D537327E84D,1918,40,910,22,4,34,1,970,manual,unskilled,NA,NA,1,1,1,0,NA,NA,320604DC-FB3A-4A12-AD28-41F842CC3D23,85A3F55E-0CAB-4DFA-9251-C077DF88932B,F34B56A3-42F3-40E4-9D6D-C44B5679C90B,1890,0,0,FALSE,1,NA,NA,NA,40,40,40,NA,NA,910,910,910,25,4,NA,10,10,NA,2,2,2,NA,NA,1,1,1,45,100,100,1930,farmer,farming,farmer,farming,0,0,1,1,1
25B41D23-72FE-40DC-A523-A263EE3CEBA8,1916,40,730,30,NA,30,1,987,nilf,nilf,NA,NA,NA,NA,1,0,NA,NA,NA,NA,59687883-DFF2-4169-BDE1-DE1674968B6B,1887,0,0,FALSE,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,730,22,NA,NA,NA,32,NA,NA,NA,1,NA,NA,NA,NA,1,0,999,999,1940,nilf,nilf,nilf,nilf,0,0,0,0,1
